biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
4865605582555649908,c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(CN4CCC(c5nnc(-c6ccncc6)[nH]5)CC4)cc3)nnc1-2,6.769551078621732,0,binding,1
-8910060186809495312,COc1ccc(C)cc1NC(=O)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,6.14266750356873,0,binding,1
-5944571895994595245,Cc1noc(C)c1S(=O)(=O)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.16749108729376,0,binding,0
1968700944298122666,CC(C)(C)c1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,6.6382721639824105,0,binding,1
-6004374753988918443,O=S(=O)(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(Cl)cc1,6.65757731917779,0,binding,1
-2832179767470094211,COc1ccccc1C(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,6.2839966563652006,0,binding,1
-7568807308713129183,CC(C)CS(=O)(=O)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.19382002601611,0,binding,0
7613773955214619404,Cc1ccccc1CNC(=O)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.92081875395237,0,binding,0
-8189777009405644214,COc1ccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,6.096910013008058,0,binding,1
1508217676089669631,c1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,5.55284196865778,0,binding,0
-1461756482270309946,O=S(=O)(NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1)C1CC1,5.27572413039921,0,binding,0
-4397488563255644601,c1ccc(CNCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,5.7212463990471685,0,binding,0
624290015709379691,Cc1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,7.0,1,binding,1
-6514841318931225763,Fc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)c(F)c1,5.14266750356873,0,binding,0
7991372615307357135,CC(C)(C)OC(=O)NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.85387196432176,0,binding,0
-7022432548941304382,CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,6.85387196432176,0,binding,1
-7226068011320505511,Cc1cc(COCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)no1,5.67778070526608,0,binding,0
-4455488163461706835,O=C(c1ccc(F)cc1)C1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.744727494896691,0,binding,0
-7531747557443733643,c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(CN4CCN(Cc5ccncc5)CC4)cc3)nnc1-2,5.2839966563652006,0,binding,0
