"","standard_value","Binary","assay_type","not_sure","rdkit"
"395",6.53313237964589,0,"binding",1,"CNC(=O)c1ccc(-c2nnc3ccc(Sc4ccc(F)cc4F)cn23)cc1"
"396",5.75696195131371,0,"binding",0,"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cncnc1"
"397",8.52287874528034,1,"binding",0,"Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1"
"398",6.88605664769316,0,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)c(C(=O)N2CCS(=O)(=O)CC2)s1"
"399",7.49485002168009,1,"binding",1,"COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl"
"400",5.69271795296665,0,"binding",0,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCN1CCOCC1"
"401",6.33724216831843,0,"binding",1,"Cn1c(C#CCO)nc(-c2ccc(F)cc2)c1-c1ccncc1"
"402",9.52287874528034,1,"binding",0,"CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(F)cccc4F)c3c2)CC1"
"403",7.44369749923271,1,"binding",1,"COC(=O)CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1"
"404",5.42021640338319,0,"binding",0,"Cn1c(-c2cn(CC(=O)N3CCN(CCO)CC3)nn2)nc(-c2ccc(F)cc2)c1-c1ccncc1"
"405",6.88605664769316,0,"binding",1,"Nc1cc(F)ccc1Nc1ccc2c(c1)CCc1ccccc1C2=O"
"406",9.04575749056067,1,"binding",0,"O=C1NCc2c(-c3ccccc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl"
"407",4,0,"binding",0,"CC(=O)OC[C@H]1O[C@H](OC(C)=O)[C@H](n2cc(-c3nc(-c4ccc(F)cc4)c(-c4ccncc4)n3C)nn2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O"
"408",9.33724216831843,1,"binding",0,"[O-][n+]1ccc2c(-c3ccccc3Cl)cc(OC3CCNCC3)nc2c1-c1c(Cl)cccc1Cl"
"409",5,0,"binding",0,"CC(C)(C)c1cc(NC(=O)Nc2ccc3ccccc3c2)n(C(=O)N2CCS(=O)(=O)CC2)n1"
"410",7.69897000433602,1,"binding",0,"COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(N5CCOCC5)c4)ccc3C)c2cc1OCCN1CCOCC1"
"411",6.69897000433602,0,"binding",1,"Cn1c(=O)n(C)c2cc(-c3c[nH]nc3-c3ccccc3)ccc21"
"412",7.30102999566398,1,"binding",1,"CCOc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2C)cc1OCC"
"413",6.15490195998574,0,"binding",1,"CSc1cccc(NCc2nc(-c3ccc4ncnn4c3)c(-c3cccc(C)n3)[nH]2)c1"
"414",6.64206515299955,0,"binding",1,"Nc1c(C(=O)c2ccc(F)cc2F)cc[n+]([O-])c1-c1cccc(Cl)c1"
"415",6.72124639904717,0,"binding",1,"Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1"
"416",5.7281583934635,0,"binding",0,"CCOC(=O)Cn1cc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)n2C)nn1"
"417",6.33441900898205,0,"binding",1,"COc1cc(Nc2ncnc(-n3c(Nc4ccccc4)nc4ccccc43)n2)cc(OC)c1OC"
"418",6.6994809008911,0,"binding",1,"Cc1ccc(C(=O)Nc2nncs2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O"
"419",5,0,"binding",0,"CC(C)c1nnc2ccc(Sc3ccc(Br)cc3C(F)(F)F)cn12"
"420",9.39794000867204,1,"binding",0,"O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CCC4)CC3)cc2N1c1c(Cl)cccc1Cl"
"421",9.30102999566398,1,"binding",0,"CN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1"
"422",6,0,"binding",0,"COc1ccnc2ccc(-c3cnn(CC(=O)Nc4ccccc4)c3-c3cccc(C)n3)cc12"
"423",8.67778070526608,1,"binding",0,"O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2cc(F)ccc2F)c1"
