,standard_value,Binary,assay_type,not_sure,rdkit
0,8.63827216398241,1,binding,0,CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1
1,8.20065945054642,1,binding,0,Cc1ccc(C(=O)NC2CC2)cc1Oc1nnc(C)c2c1cnn2-c1ccc(F)cc1F
2,6.85387196432176,0,binding,1,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCCCO
3,6.6382721639824105,0,binding,1,O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cc(C(F)(F)F)cc1Cl
4,7.096910013008059,1,binding,1,Clc1ccc(-c2cc(-c3cccc(Br)c3)c(-c3ccncc3)[nH]2)cc1
5,6.600326278518961,0,binding,1,Cc1ccc(F)c(-c2[nH]c(CNc3cccc(C(N)=O)c3)nc2-c2ccc3ncnn3c2)n1
6,7.33724216831843,1,binding,1,O=C(Cc1ccccc1)Nc1cc(-c2c(-c3ccc(F)cc3)nc3n2CCS3)ccn1
7,8.68225812659254,1,binding,0,CC[C@@H](C)Nc1nc2ccc(-c3[nH]cnc3-c3ccccc3F)cc2s1
8,8.72124639904717,1,binding,0,CCn1c(=O)c(-c2cc(C(=O)NC3CC3)cc(F)c2C)cc2nnc(-c3c(F)cccc3F)n21
9,4.30102999566398,0,binding,0,O=c1[nH]nc(-c2ccnc(NC3CCCCC3)c2)n1-c1ccc2ccccc2c1
10,8.48148606012211,1,binding,0,CC(C)Nc1nc2ccc(-c3[nH]cnc3-c3ccccc3F)cc2s1
11,4.8996566681120095,0,binding,0,O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccc(Cl)cc1Cl
12,6.92445303860747,0,binding,1,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3ccncc3)c2)[nH]1
13,5.8239087409443195,0,binding,0,O=C(NCc1ccccn1)c1ccc(Oc2ccccc2)cc1
14,5.68824613894425,0,binding,0,C=Cc1ccccc1NCc1nc(-c2ccc3ncnn3c2)c(-c2cccc(C)n2)[nH]1
15,7.49485002168009,1,binding,1,O=C(Nc1cc(Nc2ccc3c(c2)CCCCC3=O)ccc1F)c1ccoc1
16,7.966576244513051,1,binding,0,O=C(Cc1ccccc1Cl)Nc1onc(-c2ccc(Cl)cc2)c1-c1ccncn1
17,9.292429823902062,1,binding,0,CC(C)(C)N1CCC(c2cc3c(ccc(=O)n3-c3c(Cl)cccc3Cl)c(-c3ccc(F)cc3F)n2)CC1
18,6.177178354696901,0,binding,1,CC1(C)OC[C@@H](COc2ccc3c(c2)COc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1
19,5.455931955649719,0,binding,0,COc1ccc(Nc2ncc3nc(Nc4c(F)cccc4F)n(C4CCCC4)c3n2)cc1
20,6.769551078621731,0,binding,1,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)/C=C/c3c(Cl)cccc3Cl)c2)n1C
21,7.55284196865778,1,binding,0,N#Cc1cccc(Cc2nc(-c3ccc(F)cc3)c(-c3ccnc(N)n3)[nH]2)c1
22,7.69897000433602,1,binding,0,Oc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1
23,7.481486060122111,1,binding,1,Cc1cccc(-n2nccc2-c2ccc3nc(NC(C)C)sc3c2)c1
24,5.62893213772826,0,binding,0,Cc1cccc(-c2[nH]c(CNc3cc(C#N)cc(CN4CCCC4)c3)nc2-c2ccc3ncnn3c2)n1
25,8.214670164989231,1,binding,0,CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(-c4ccncc4)nc3-c3ccccc3)cc21
26,4.82390874094432,0,binding,0,Cc1ccc(-c2ccc(N)nn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1
27,7.619788758288389,1,binding,0,CCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21
28,8.58502665202918,1,binding,0,Cn1c(=O)c(-c2cc(C(=O)NC3CC3)ccc2Cl)cc2cnnc(-c3ccc(F)cc3F)c21
29,5.0,0,binding,0,CNc1ncc(C(=O)Nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3C)ccc2C)c(OC)n1
30,8.06550154875643,1,binding,0,Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc(-c2ccc(CN(C)C)cc2)s1
31,6.318758762624411,0,binding,1,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CCCN2CCOCC2)n1
32,6.24108810760203,0,binding,1,Cc1cccc(C(=O)c2ccc(Nc3ccccc3N)cc2)c1
33,7.585026652029179,1,binding,0,CCN(C(=O)c1cc(C)ccc1F)c1ccnc(N[C@@H](C)c2ccccc2)n1
34,6.207608310501749,0,binding,1,CCc1cccc(-c2nn3c(c2-c2ccnc4ccccc24)CCC3)n1
35,7.46852108295774,1,binding,1,CNC(=O)c1ccc(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c(C)c1
36,5.54821356447571,0,binding,0,CC(=O)Nc1ccccc1NCc1nc(-c2ccc3ncnn3c2)c(-c2cccc(C)n2)[nH]1
37,6.913640169325251,0,binding,1,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1ccc(C(N)=O)cc1
