biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
-6789468936911090924,O=c1ccc2c(-c3ccccn3)cccc2n1-c1c(Cl)cccc1Cl,6.455931955649719,0,binding,1
6938770634008120457,O=c1c(Br)c(OCc2ccccc2)cnn1-c1ccccc1,4.6126101736612695,0,binding,0
6054873909901829087,Cc1ccc(NC(=O)c2cc(F)cc(N3CCOCC3)c2)cc1Nc1ncnn2cc(C(N)=O)c(C)c12,8.52287874528034,1,binding,0
-2437197367080119596,O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1,8.08618614761628,1,binding,0
718156720285427350,Cc1ncc(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)cn1,6.744727494896691,0,binding,1
-2177492657664267686,CC[C@@H](C)Nc1nc2ccc(-c3c(-c4ccccc4F)nn(C)c3N)cc2s1,7.95860731484177,1,binding,0
7500720062045626515,Cc1ccccc1CNc1ccc(=O)n(-c2ccccc2Cl)n1,5.455931955649719,0,binding,0
5979721839132003966,Cc1cccc(-c2[nH]c(Cc3cccc(C(N)=O)c3)nc2-c2ccc3ncccc3c2)n1,6.267606240177031,0,binding,1
1743506818547269513,Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,8.30102999566398,1,binding,0
2400250348749136671,Cc1ccc(C(=O)NCCC2CCCC2)cc1C(=O)Nc1ccc(N)nc1,6.00086945871263,0,binding,1
8172362791951723210,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)OC)c(C)c23)c1,8.95860731484177,1,binding,0
5909737488996657883,C[C@H]1CN(C(=O)c2cc3c(C(=O)C(=O)N(C)C)cn(C)c3cc2Cl)[C@H](C)CN1C(c1ccc(F)cc1)c1ccc(F)cc1,7.619788758288389,1,binding,0
-8303243744164768901,CC(=O)Nc1ccc(NC(=O)c2cc(C(=O)Nc3cccc(C(F)(F)F)c3)ccc2C)cn1,7.34678748622466,1,binding,1
6965753457210950000,CN(C)c1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,8.52287874528034,1,binding,0
-8917230479279040928,O=c1c(Br)c(NCc2ccccc2)cnn1-c1c(Cl)cccc1Cl,5.2426039712069805,0,binding,0
7272167109118361727,O=c1ccc(Nc2ccccc2Cl)nn1-c1ccccc1Cl,6.102372908709559,0,binding,1
1924506590611861410,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3ccccn3)c2)[nH]1,7.15490195998574,1,binding,1
-6079759303017365985,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)c(Cl)c3)cn12,7.906578314837769,1,binding,0
-8835270642688009813,O=c1c(Br)c(OCc2ccc(F)cc2F)cnn1-c1c(Cl)cncc1Cl,6.602059991327961,0,binding,1
7425227518138113309,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)NC4CCCC4)c(C)c23)c1,8.09691001300806,1,binding,0
-8843672378954775471,NC1(C(=O)NCCOc2cc(-c3ccccc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,8.82390874094432,1,binding,0
875363196819291328,O=c1c(O)cc2c(-c3ccccc3Cl)cc(O)cc2n1-c1c(Cl)cccc1Cl,8.30102999566398,1,binding,0
7628868037119377642,CSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NCCCO)c2)[nH]1,7.21467016498923,1,binding,1
162087841315404137,O=C(NCCCN(c1ccc(=O)n(-c2ccccc2Cl)n1)c1ccccc1Cl)C1CCC(C(F)(F)F)CC1,7.69897000433602,1,binding,0
267498315840298077,COC[C@H](C)NC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cccc(N5CCOCC5)c4)ccc3C)c2c1C,7.92081875395237,1,binding,0
-8893554388724762514,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)NCCN4CCOCC4)c(C)c23)c1,8.09691001300806,1,binding,0
