"","A","P","N","margin"
"1410","C=CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2CCOC)ccn1","O=C(Nc1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1)c1cccc(C(F)(F)F)c1","Cc1ccc(C(=O)NC(C)C)cc1Nc1ncnn2cc(C(=O)c3ccccc3)c(C)c12","random"
"1411","C=CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2CCOC)ccn1","CCCc1c(C(=O)Nc2cc(S(C)(=O)=O)ccc2C)cnn1-c1ccccc1","CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12","random"
"1412","C=CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2CCOC)ccn1","Nc1c(C(=O)c2ccc(F)cc2F)cc[n+]([O-])c1-c1ccc(F)cc1F","Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccnc(NCc3ccccc3)c2)c1","random"
"1413","CC(C)(C)c1cc(NC(=O)Nc2ccc3ccccc3c2)c(CN2CCS(=O)(=O)CC2)s1","COc1nccc(-c2c(-c3ccc(F)cc3)ncn2CCCN2CCOCC2)n1","CC(C)(C)c1cc(C(=O)N2CCS(=O)(=O)CC2)c(NC(=O)Nc2cccc3ccccc23)s1","margin = 0.35"
"1414","CC(C)(C)c1cc(NC(=O)Nc2ccc3ccccc3c2)c(CN2CCS(=O)(=O)CC2)s1","COc1nccc(-c2c(-c3ccc(F)cc3)ncn2Cc2ccc(C(N)=O)cc2)n1","CC(C)(C)c1cc(C(=O)N2CCNS(=O)(=O)CC2)c(NC(=O)Nc2ccc3ccccc3c2)s1","margin = 0.35"
"1415","CC(C)(C)c1cc(NC(=O)Nc2ccc3ccccc3c2)c(CN2CCS(=O)(=O)CC2)s1","O=c1c2ccc(Nc3ccc(F)cc3F)cc2ccc2ccc(O)cc12","CSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NCC(C)c3ccccc3)c2)[nH]1","random"
"1416","CC(C)(C)c1cc(NC(=O)Nc2ccc3ccccc3c2)c(CN2CCS(=O)(=O)CC2)s1","COC(=O)c1c(NC(=O)Nc2cccc(Cl)c2Cl)cc(C(C)(C)C)n1C","Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(N)nc1","random"
"1417","CSc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1","CC(C)Cn1c(N)nc2ccc(-c3[nH]c(-c4c(F)cccc4F)nc3-c3ccccc3)nc21","Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCc3ccccn3)c3ccccc23)cc1","margin = 0.35"
"1418","CSc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1","Cc1ccc(NC(=O)c2ccoc2)cc1-c1ccc(C(=O)NCC2CC2)cc1","COc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ncnc4[nH]c(=O)cnc34)c3ccccc23)cc1","margin = 0.35"
"1419","CSc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1","CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12","Cc1cccc(-c2nn(CC(=O)Nc3cccc(C#N)c3)cc2-c2ccc3nc(C)c(C)nc3c2)n1","random"
"1420","CSc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1","CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)ccc4F)cn23)CC1","O=C1NCc2nc(Sc3cccc(C(F)(F)F)c3)ccc2N1c1c(Cl)cccc1Cl","random"
"1421","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","Cc1cnc(C(=O)NC2CC2)cc1-c1cc2cnnc(-c3ccccc3C(F)(F)F)c2n(C)c1=O","Nc1ccccc1Nc1ccc2c(c1)CCc1ncccc1C2=O","margin = 0.35"
"1422","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","Cc1ccc(C(=O)NC2CC2)cc1Nc1cc(=O)n(C)c2c1cnn2-c1ccc(F)cc1F","COc1ccc2c(c1)C(=O)c1ccc(Nc3ccccc3Cl)cc1CC2","margin = 0.35"
"1423","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccccc3)n2)cc1","Nc1ccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)cc1","margin = 0.35"
"1424","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","Cc1nnc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCN(S(C)(=O)=O)CC3)c2)[nH]1","Nc1ccccc1Nc1ccc2c(c1)OCc1ccccc1C2=O","margin = 0.35"
"1425","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc2ccn(C(C)C)c2c1","Nc1ccccc1Nc1ccc2c(c1)SCc1ccccc1C2=O","margin = 0.35"
"1426","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","COc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl","Cc1ccc(C(=O)O)cc1Nc1ncnn2cc(C(=O)c3ccccc3)c(C)c12","random"
"1427","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","O=C(Nc1cc(Nc2ccc3c(c2)CCc2ccccc2C3=O)ccc1F)c1ccoc1","CCC(CC)n1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1","random"
"1428","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","Cc1ccc(NC(=O)c2ccccc2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1","CS(=O)(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1","random"
"1429","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","COc1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3C)cc1CC2","CCOC(=O)Cn1cc(-c2ccc(-c3nc(-c4ccc(F)cc4)c(-c4cc[nH]c(=O)c4)[nH]3)cc2)nn1","random"
"1430","COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O","[O-][n+]1ccc2c(-c3ccccc3Cl)cc(NC3CCNCC3)nc2c1-c1c(Cl)cccc1Cl","Cc1cccc(-c2nc(NCc3cccc(C#N)c3)sc2-c2ccc3ncnn3c2)n1","random"
"1431","O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1","COCCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2","CCn1c(=O)c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc21","margin = 0.35"
