,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,-0.15041864,0.10240862,-0.03182569,0.078325525,0.015708659,-0.07191118,-0.019129664,0.052790776,-0.063624986,0.107804395,-0.14809905,0.05905272,0.16609034,0.063598305,-0.067134276,0.11825856,0.089522876,0.1856153,-0.12607242,-0.13149342,0.109044574,-0.0075783445,-0.033403814,0.05221783,0.056597065,-0.052859373,0.11761335,0.09734388,0.014098739,0.07645337,0.18601575,0.094559364,-0.10644858,-0.12907901,0.13588215,0.061052464,0.121924326,-0.13574752,-0.09259517,-0.003474408,0.15345822,0.00550864,-0.019628901,0.012035266,-0.17442155,0.10059528,-0.18479316,0.019579593,-0.045670692,-0.10569038,-0.03050713,-0.15780531,-0.12942503,-0.08231568,0.17499861,-0.1255984,0.13605912,0.11578389,-0.05455188,-0.12130844,-0.1853648,0.06903983,-0.026176464,0.06137122,-0.094156355,0.00073543907,-0.04277755,-0.13647974,0.065405264,0.12449073,-0.022531996,-0.0010327318,-0.04364094,-0.0009110952,-0.13122737,-0.11694398,0.08635049,0.10822057,0.015185885,0.07508468,-0.06975902,-0.0054864176,0.052526083,-0.09512956,-0.061830968,-0.14209346,-0.09694584,0.010418332,0.053538524,-0.16507281,0.10349296,-0.13716578,0.11796617,-0.20500718,-0.14438923,0.04543377
1,-0.15180774,0.115090944,-0.045750216,0.08061913,0.011787215,-0.066929005,-0.013780797,0.05312164,-0.06975316,0.11290867,-0.15941846,0.05872208,0.16517003,0.06758599,-0.06974403,0.12408589,0.09963414,0.17985637,-0.12432287,-0.11948149,0.117749825,0.007922674,-0.028291937,0.043396268,0.047681816,-0.063805595,0.118626416,0.088574156,0.023612868,0.08031969,0.18032347,0.094735,-0.11861432,-0.104564756,0.14531709,0.057755314,0.13096453,-0.14601173,-0.09031952,-0.015570589,0.14844891,-0.0012760771,-0.037948463,0.018743772,-0.17343473,0.105568856,-0.1799612,0.009163446,-0.026735663,-0.104605146,-0.034224533,-0.17294653,-0.12330564,-0.074279934,0.17398909,-0.13558412,0.11507308,0.10392242,-0.06160507,-0.13370743,-0.1915958,0.060325142,-0.024748618,0.06487121,-0.09889612,-0.0087248655,-0.04035556,-0.12155113,0.06987386,0.12293293,-0.035183903,-0.004289353,-0.03786121,-0.010567192,-0.12661572,-0.11950875,0.089891784,0.117998526,0.004717769,0.07806312,-0.06550703,-0.013972648,0.06388761,-0.09173848,-0.051487897,-0.12357098,-0.09227622,0.0025599606,0.04683245,-0.16779433,0.10146496,-0.13005586,0.11367767,-0.20575275,-0.14660862,0.03796632
2,-0.1539702,0.11394205,-0.032977268,0.08080322,0.00926853,-0.05338059,-0.028424116,0.07092846,-0.0767106,0.113929,-0.15009993,0.061051168,0.16184838,0.073885,-0.07324658,0.11325589,0.09249892,0.18881492,-0.11647058,-0.120124675,0.114341386,0.018328197,-0.029774627,0.049785208,0.040828023,-0.053020608,0.10597742,0.08873831,0.012327433,0.0742313,0.18155007,0.090999655,-0.12534806,-0.10409261,0.1389942,0.060250185,0.12656717,-0.14021151,-0.104664445,-0.009889441,0.14958903,0.015409984,-0.045012698,0.010691837,-0.17840591,0.10395137,-0.18388401,0.014615391,-0.025182629,-0.09778133,-0.02836984,-0.17551242,-0.12587811,-0.07593836,0.16528516,-0.1203639,0.12936367,0.11106256,-0.050324406,-0.12425688,-0.18473054,0.060646597,-0.014701123,0.061861843,-0.10203553,-0.01671675,-0.045878697,-0.12653708,0.06776833,0.13542116,-0.032029476,-0.0056938743,-0.037444677,-0.004584373,-0.119486675,-0.1266342,0.08429769,0.1041998,0.006031979,0.07480664,-0.06691686,-0.0009506572,0.06857356,-0.10470754,-0.057620015,-0.13545737,-0.10297625,0.007271645,0.051519565,-0.16355318,0.10651297,-0.14376512,0.11067809,-0.20454188,-0.1479619,0.05228734
3,-0.15269564,0.107419915,-0.043288376,0.08014078,0.013274918,-0.06293192,-0.023154624,0.05961324,-0.062281683,0.110693716,-0.15644628,0.057046514,0.16777486,0.0621371,-0.069323316,0.12147343,0.09563515,0.18662228,-0.12011962,-0.12429269,0.11470382,0.008533039,-0.029866444,0.051060975,0.05342899,-0.05232497,0.1131861,0.08686326,0.01433693,0.07455769,0.18339494,0.09122524,-0.12128799,-0.10760475,0.1413247,0.059431203,0.12800215,-0.14340736,-0.09388309,-0.008578567,0.14710148,0.007260398,-0.0340348,0.011962392,-0.17208613,0.10221849,-0.18601325,0.016481288,-0.031013232,-0.1011682,-0.033282038,-0.16597933,-0.12829253,-0.0771513,0.1712418,-0.13024992,0.12495985,0.10617797,-0.05772974,-0.12803954,-0.18862486,0.06643508,-0.019891085,0.06306163,-0.098086625,-0.0062990175,-0.03737379,-0.12566663,0.06887371,0.12244024,-0.030257912,-0.00114945,-0.04098367,-0.0060488554,-0.12878568,-0.11947902,0.08958491,0.11266264,0.0074306256,0.07392867,-0.06521502,-0.0074294945,0.06577123,-0.09778967,-0.057641976,-0.1328115,-0.09889661,0.007950925,0.04960314,-0.16664112,0.10681068,-0.13568914,0.11505921,-0.20431519,-0.153912,0.042465143
4,-0.15830398,0.10943392,-0.03363412,0.08171093,0.015916586,-0.06450731,-0.014504133,0.054215506,-0.06654334,0.110788666,-0.15630683,0.054721843,0.16850258,0.06416892,-0.07474376,0.11602185,0.089046896,0.18462984,-0.12055287,-0.12803991,0.111398086,0.0042316965,-0.03296647,0.050629526,0.055104554,-0.057511397,0.10765722,0.094628625,0.017372763,0.077168405,0.18169512,0.09501336,-0.12202163,-0.110476434,0.136572,0.052582134,0.12117884,-0.14085706,-0.09062242,-0.005711379,0.14701055,5.5180244e-05,-0.031190643,0.010716,-0.17705941,0.10336217,-0.19206806,0.012404359,-0.026432583,-0.10472145,-0.026294734,-0.17521906,-0.12368519,-0.07585253,0.16810898,-0.12792116,0.13106863,0.10708557,-0.05620408,-0.13140625,-0.1840057,0.064612485,-0.018064719,0.0593386,-0.090693116,-0.004205505,-0.03846753,-0.12638058,0.06899465,0.12200231,-0.027261654,-0.008153615,-0.03689744,-0.0022638785,-0.13174653,-0.1161672,0.09567172,0.1056703,0.010755155,0.080772385,-0.065480426,-0.005069918,0.058970287,-0.10270614,-0.05619024,-0.14278917,-0.10005893,0.013656288,0.05069787,-0.16787015,0.09975779,-0.13017125,0.120264634,-0.20547728,-0.14412656,0.04935277
5,-0.1513475,0.10376949,-0.045657966,0.076048926,0.0115344385,-0.066464745,-0.0313943,0.05388317,-0.06317123,0.10962641,-0.14865951,0.061909776,0.16671431,0.058022562,-0.06315194,0.11535713,0.09349948,0.18996868,-0.12233061,-0.12708166,0.108096525,-0.0013156191,-0.03535796,0.060123675,0.057656705,-0.036689334,0.11757271,0.09198269,0.011689755,0.074896164,0.17616569,0.094816685,-0.1081179,-0.120397836,0.13055882,0.061656278,0.12290838,-0.13562801,-0.0911684,0.0021278742,0.15129676,0.015354452,-0.022053927,0.00453737,-0.17271392,0.103145756,-0.18742406,0.019852834,-0.039790608,-0.10400406,-0.027146125,-0.15376379,-0.1340223,-0.08068338,0.17265727,-0.13159199,0.1397275,0.114684716,-0.054136768,-0.115629554,-0.18909699,0.07581718,-0.012906161,0.06210064,-0.09847824,0.0046329275,-0.043186862,-0.13743304,0.06858348,0.123010576,-0.021041311,-0.0007292204,-0.040084433,0.0034462893,-0.13079047,-0.1148691,0.08531765,0.10951191,0.0044054203,0.073111385,-0.06959251,-0.0004079638,0.058172088,-0.09323972,-0.05992325,-0.14027278,-0.102442525,0.010739676,0.051501777,-0.16299494,0.10480715,-0.14093907,0.117385544,-0.214657,-0.15239304,0.042261247
6,-0.15401103,0.107933156,-0.034048747,0.080395445,0.010643907,-0.069397904,-0.018923787,0.05796237,-0.06781376,0.107353546,-0.15434024,0.056966376,0.1704962,0.06410756,-0.07051325,0.12301757,0.09594458,0.18139866,-0.12156575,-0.1253312,0.11638889,-0.0011637483,-0.030571088,0.048584055,0.049822636,-0.057751168,0.11356296,0.091482006,0.012786179,0.077166945,0.1820641,0.09344202,-0.11436413,-0.11698736,0.14411263,0.056580707,0.12884992,-0.1418457,-0.09110914,-0.0073620253,0.15425675,0.0012022,-0.03351359,0.012836258,-0.1751552,0.10493417,-0.18371153,0.017587673,-0.035718214,-0.1028727,-0.030728793,-0.16883191,-0.123554975,-0.0742319,0.17184225,-0.13186376,0.1273403,0.108055934,-0.05408494,-0.13213633,-0.18609288,0.062440056,-0.025722567,0.06276627,-0.096545964,-0.0061232783,-0.0399651,-0.1283595,0.0614186,0.12029494,-0.03080424,0.0005964853,-0.041461077,-0.0054213414,-0.13032311,-0.12015612,0.09061786,0.11112759,0.012344323,0.07685332,-0.06337531,-0.008124905,0.0639465,-0.09671339,-0.059300773,-0.13685615,-0.095612556,0.0040978687,0.044853356,-0.16650951,0.1060689,-0.1298158,0.116365165,-0.19638062,-0.1523074,0.042717446
7,-0.15520972,0.10776313,-0.042177252,0.08248154,0.0078683905,-0.06801369,-0.01934278,0.04924573,-0.06354934,0.1049975,-0.15576866,0.050810754,0.17233606,0.06660375,-0.064652584,0.12894893,0.09648136,0.17998259,-0.12855488,-0.12481876,0.114919744,-0.0006155817,-0.03348108,0.03400592,0.052070875,-0.06289643,0.11596175,0.083800025,0.015546802,0.07957635,0.19103186,0.09233758,-0.1175397,-0.11084112,0.14758568,0.056314662,0.13040257,-0.15138827,-0.090591274,-0.020083474,0.15500996,-0.0035630262,-0.034921825,0.016101096,-0.17065327,0.094459884,-0.18199739,0.010130789,-0.04054343,-0.10232628,-0.030745966,-0.16355029,-0.12227982,-0.07140213,0.17674604,-0.1375525,0.121457405,0.101372235,-0.05991831,-0.13437527,-0.18985765,0.06608252,-0.028568268,0.0599179,-0.10043333,-0.008820991,-0.037089817,-0.12917568,0.0586018,0.12034084,-0.032678008,-0.0013828515,-0.043992773,-0.012526974,-0.13118413,-0.11178561,0.08923673,0.11636632,0.010782738,0.07988178,-0.061530065,-0.02005302,0.063579775,-0.09861492,-0.057016302,-0.13032514,-0.09126795,0.0030254296,0.041735593,-0.16510186,0.106544495,-0.12107124,0.10897126,-0.19827422,-0.1576395,0.029522734
8,-0.14954212,0.10545469,-0.040280197,0.07465458,0.007733045,-0.06812512,-0.017128466,0.054931305,-0.066644914,0.11422195,-0.1490682,0.054025088,0.17388201,0.07003853,-0.06909894,0.124930255,0.10106885,0.1752962,-0.12414233,-0.12000319,0.118447065,0.0073398133,-0.029497592,0.04160357,0.042100783,-0.059221454,0.11924601,0.092043005,0.010559574,0.08091987,0.18817504,0.093297504,-0.11807054,-0.11412375,0.14607759,0.056752097,0.13447268,-0.1482237,-0.094971694,-0.022402504,0.14797993,0.002291671,-0.03678334,0.026787594,-0.16449377,0.09821915,-0.17998005,0.020316502,-0.035390537,-0.10337797,-0.035396826,-0.17922586,-0.12343638,-0.07754141,0.18649758,-0.13018487,0.11502902,0.107960984,-0.057581384,-0.13224065,-0.1912241,0.057809856,-0.029709596,0.061370663,-0.09949176,-0.022046292,-0.039397746,-0.13016011,0.055199534,0.118532516,-0.031261772,0.0056985747,-0.0368995,-0.0073274127,-0.12417969,-0.1221572,0.08753591,0.11859446,0.0132572055,0.08131724,-0.067852534,-0.015279197,0.066709355,-0.09099393,-0.05126249,-0.12673114,-0.09228723,-0.0067646196,0.041505683,-0.1661996,0.10159783,-0.1250231,0.109944984,-0.20038459,-0.15055378,0.0395508
9,-0.15368512,0.0971602,-0.040046502,0.079321794,0.013905745,-0.07064863,-0.03100123,0.05238575,-0.061848104,0.10408393,-0.15030055,0.06178645,0.1695446,0.057755392,-0.060145896,0.119679816,0.092903025,0.19000904,-0.1266996,-0.1270372,0.111046344,-0.004185631,-0.034156304,0.053309433,0.060344893,-0.045508094,0.11464043,0.0884832,0.0083374,0.077110216,0.18831521,0.090501174,-0.11296052,-0.121355176,0.12990256,0.06296886,0.12130742,-0.13872981,-0.089169465,0.0019860857,0.15681925,0.010428166,-0.021798516,0.003425091,-0.17523022,0.0977717,-0.18614894,0.02166082,-0.04941272,-0.102314256,-0.033520076,-0.15250856,-0.12968425,-0.083974786,0.17297748,-0.12556998,0.13903919,0.11081358,-0.05558788,-0.12030403,-0.19061372,0.07009954,-0.020873087,0.060658097,-0.09481742,0.0028427118,-0.0392646,-0.13126975,0.06795036,0.119478844,-0.0272253,0.0057122693,-0.041730642,-0.0040181824,-0.13508691,-0.114238255,0.08977087,0.108485505,0.016322969,0.07315021,-0.06656512,-0.0062111076,0.054710973,-0.10121902,-0.059172705,-0.14104983,-0.10721601,0.01776333,0.04740537,-0.16291404,0.10772336,-0.13540645,0.11351328,-0.20341244,-0.15405159,0.040611275
